rms_value,peak_count,roadQuality
0.9974154530513654,0,0.9
1.0011685128714591,2,0.9
0.9933253570998261,0,0.9
0.9976068846156073,0,0.9
0.9931711568222675,0,0.9
1.0025770179171243,1,0.9
0.9991483075330465,0,0.9
0.9936721815242548,0,0.9
1.0017596962722888,0,0.9
1.0067132393696367,0,0.9
1.0044626458887405,0,0.9
0.9972045453955285,0,0.9
1.0073570572709831,0,0.9
0.9976027530375882,0,0.9
0.9905489490939218,0,0.9
0.997161495378538,0,0.9
1.0038063628695848,0,0.9
0.998210575797982,0,0.9
1.0057503688388336,0,0.9
1.0126748954168758,3,0.9
0.9984512987110512,1,0.9
1.0072996427900671,0,0.9
0.9870932170321393,0,0.9
0.9948594339434019,0,0.9
0.9915664983025059,0,0.9
1.0066018638667193,0,0.9
0.9925311361951623,0,0.9
0.9901493027619468,1,0.9
0.9961672022375009,0,0.9
1.0054144003305532,0,0.9
0.9984192288707997,0,0.9
0.9952511928445825,0,0.9
0.9889784428667344,0,0.9
0.978884360777185,0,0.9
0.987309525166195,0,0.9
0.9921886025867568,0,0.9
0.9954737065683691,0,0.9
0.9982610386606195,0,0.9
0.9887573169989933,0,0.9
0.9963664386307658,0,0.9
0.9920772981925317,0,0.9
0.9895997199554765,0,0.9
0.9899193945891375,0,0.9
0.9896072114198945,0,0.9
0.9896739440397377,0,0.9
0.9901960855385282,0,0.9
0.9997004131573379,0,0.9
0.9980166243141707,0,0.9
1.0043479023482365,0,0.9
1.0118981748026545,0,0.3
1.0180040765705265,1,0.3
1.1216305772188084,12,0.3
1.0853933052487437,14,0.3
1.0406136321910704,4,0.3
0.9994384070141842,1,0.3
0.9948054348958575,0,0.3
1.0256317764634577,1,0.3
1.0909232965075808,13,0.3
1.0936892427488483,8,0.3
0.9985643485076133,2,0.3
0.9996599782768555,2,0.3
1.0363473731583517,4,0.3
1.0245300359486595,1,0.3
0.9625473754456574,0,0.3
1.0280963384149173,2,0.3
1.0166277187108317,3,0.3
1.0878694022735027,5,0.3
1.0289428644026086,2,0.3
0.9878429515975743,3,0.3
